Source_NAME,Activity,Activity Description
Frontenac,Fishing,"Frontenac offers numerous opportunities for fishing. Anglers might catch Lake Trout, Largemouth and Smallmouth Bass, Northern Pike, Black Crappie, perch and Brook (Speckled) Trout. Three stocked lakes within the park offer ice fishing."
Frontenac,Hiking,Frontenac offers over 100 km of hiking and backpacking trails in interconnected loops.
Frontenac,Natural Heritage Education,"Interpretive brochures are available for two trails in the park.
The Friends of Frontenac offer wilderness skills courses to those who wish to gain knowledge and experience in subjects such as winter camping, kayaking, wilderness first aid, map and compass use, canoeing, fishing and backcountry camping."
Frontenac,Swimming,Swimming is allowed in all park lakes but sand beaches are limited.
Frontenac,Winter Activities,"Winter is a great time to enjoy Frontenac. Try winter camping on one of the parks interior campsites.  There are opportunities for snowshoeing, hiking and wildlife viewing. The park offers cross-country skiing on 11 km of track-set trails, when conditions are suitable."
Fushimi Lake,Biking,Biking is available on park roads.
Fushimi Lake,Birding,"Fushimi Lake lies within the vast Boreal Forest region. This is often called the songbird nursery, as hundreds of bird species nest here each summer. Warblers are the most colourful and have the prettiest songs, but many other birds can be heard and seen, including woodpeckers, ducks, finches and flycatchers, as well as fishing birds like Great Blue Herons, Ospreys and Bald Eagles."
Fushimi Lake,Boating,"The boat launch is located near the campground. After launching, boats can be loaded at the dock, and beached on our sandy shore overnight."
Fushimi Lake,Canoeing,"There are excellent canoeing opportunities on Fushimi Lake. The lake has many bays and coves and the sections of the Valentine River, at either end of the lake, are also worth exploring. Keep an eye out for wildlife."
Fushimi Lake,Fishing,"Fish for Walleye, Northern Pike, Lake Whitefish and Yellow Perch in Fushimi Lake and Valentine River. You can then clean your catch at the fish cleaning hut next to the boat launch."
Fushimi Lake,Hiking,"Achilles Lake Trail - 1 km return (45 minutes) easy. 
This trail leads to the shore of Achilles Lake, a small lake on the north side of the campground. The lake is a popular spot for watching sunsets. There is a canoe rental at the end of this trail so you can paddle and try your luck at catching Walleye and Northern Pike."
Fushimi Lake,Hunting,"Hunting in this park is subject to the Ontario Hunting Regulations. Certain restrictions apply. For more information, contact the park or your local area or district office of the Ministry of Natural Resources."
Fushimi Lake,Swimming,"The sandy beach, shallow, clear water and buoyed swimming area next to the campground are perfect for family swimming. There are change facilities. There is a full size sand volleyball court at the Day-Use Area, another beach and a place to play horseshoes."
Grundy Lake,Biking,There are no dedicated bike trails however campers enjoy bike rides along the park roads.
Grundy Lake,Birding,"You will see many birds at Grundy Lake Provincial Park. Common sightings include the Common Loon, Broad-winged Hawk, Ruffed Grouse, Great Blue Heron, Red-tailed Hawk, and the Great-horned Owl. Other sightings include the Northern Saw-whet Owl, Whip-poor-will, and Pileated Woodpecker."
Grundy Lake,Boating,Power boats are not allowed at Grundy Lake Provincial Park.
Grundy Lake,Canoeing,"There are countless inland lakes offering endless canoeing and kayaking adventures, which are great for beginners. There are canoe and kayak rentals available nearby. Those looking for a nearby adventure can canoe to their campsites at one of the park’s nine backcountry sites, a popular way to explore the interior of the park."
Grundy Lake,Fishing,"The numerous lakes offer excellent fishing and include species such as Northern Pike, bass, panfish, walleye and crappie."
Grundy Lake,Hiking,"Swan Lake Trail – 1.5 km loop (1 hour) moderate to difficult.  
Wind through a special area in the park which is protected as a nature reserve. This short hike crosses rocky ridges and lookouts as well as a variety of interesting wetlands. The centerpiece of the trail includes a boardwalk, where wetland plants and animals can be studied. While there, be sure to watch for the Great Blue Heron, beaver, waterfowl, bitterns and other varieties of birds, reptiles, amphibians, fish, deer, moose and carnivorous plants."
Grundy Lake,Natural Heritage Education,"During the summer, park staff offer a variety of fun, interactive educational programs. Join one of our knowledgeable park naturalists on a guided hike, learn about the Voyageurs and the logging history, discover the Pre-Cambrian Shield, see the park’s wildlife and plant life! Take part in the campfires and come stop by our amphitheatre and visitor centre. Take part in the ‘Art in the Park’ programs. There is something for the whole family to enjoy."
Grundy Lake,Swimming,There are eight natural sand beaches recommended for swimming. The Main Beach is located in Grundy Lake and is marked with buoy lines. This beach and most of the other beaches have gradual drop-offs. Please note: there are no lifeguards posted at the beaches and pets are not permitted.
Halfway Lake,Birding,"Bald Eagles, osprey, many species of woodpecker and a variety of northern songbirds, like the Yellow Warbler, are common sightings in the park."
Halfway Lake,Boating,Halfway Lake is ideal for smaller watercraft and offers a boat launch. All other lakes in the park have motor restrictions.
Halfway Lake,Canoeing,"Two Narrows Canoe Route
The Two Narrows Canoe Route begins on Halfway Lake and travels south into Bailey Lake. It is here that you can see nesting Bald Eagles, a Great Blue Heron rookery and the origins of the 2007 forest fire. From there a series of portages and small lakes takes you deep into the heart of the park. The landforms and vegetation in the Two Narrows Lake area is the central natural heritage feature of the park. Ground moraines created by glaciers thousands of years ago lie on top of rolling bedrock cloaked in forests dominated by jack pine, white birch and poplar. The canoeist can then travel back from Trapper Lake along the original route or through Benny Lake. This canoe route can be competed in one day but there are interior campsites for those who wish to spend more time enjoying the solitude. Dawn and dusk offer excellent wildlife viewing opportunities."
Halfway Lake,Fishing,"Halfway Lake provides anglers some excellent fishing opportunities for Small-mouth Bass, Northern Pike, Walleye and Lake Trout."
Halfway Lake,Hiking,"Moose Ridge Trail - Rating: Moderate - Length: 2 km, 0.5-1 hour
This trail winds along Raven Lake and up and over a small glacial ridge. This is an excellent trail for families and offers exceptional scenic vistas."
Halfway Lake,Hunting,Hunting is permitted only in the park addition. For more information contact 705-966-0562
Halfway Lake,Natural Heritage Education,"Have you ever wondered how many times a Pileated Woodpecker drums at a tree in just one second? If you have ever contemplated the mysterious world of owls and why the northern night sky dances in the summer then you will want to attend the excellent Natural Heritage Education programs. Park Naturalists offer a complete range of interpretive activities for the entire family. They include guided trail hikes, canoe hikes, campfires, children’s programs and special events. Be sure to visit the Visitor Centre where you can get a firsthand glimpse of the wildlife that call Halfway Lake home. It is here that staff can assist with species identification, provide some history on the park or walk with you while you stroll through the centre looking at the various exhibits."
Halfway Lake,Swimming,Halfway Lake has excellent swimming in its day-use area and is close to the campground. The large buoyed swimming area and long sandy beach with shallow entry is perfect for children.
Inverhuron,Biking,There is a shared-use trail in the park and cycling on all park roads.
Inverhuron,Birding,"Self-guided opportunities, best during spring and fall migrations."
Inverhuron,Boating,There is access to Lake Huron via a boat launch in the park.
Inverhuron,Canoeing,"Canoeing & Kayaking  
Caution should be used by anyone canoeing or kayaking along the shore of Lake Huron as water conditions can quickly change. The nearby Saugeen River provides excellent canoeing and kayaking opportunities."
Inverhuron,Fishing,"A good spot to fish for Lake Trout, bass, pickerel, perch, salmon, pike."
Inverhuron,Hiking,There is a shared-use trail in the park.
Inverhuron,Natural Heritage Education,"The Natural Heritage program at Inverhuron Provincial Park consists of programs for all ages. All through the week, there are a wide variety of children’s programs, evening programs, special events and guided hikes that allow campers to learn about the natural features of the park as well as its vast cultural history. Weekly program notices are posted throughout the park as well online."
Inverhuron,Swimming,"The park is well-known for the clear waters of its shallow, sandy beach – ideal for swimming. Sections of the 1 km beach are buoyed and change facilities are available."
Inverhuron,Winter Activities,The park is gated during the winter.
Ivanhoe Lake,Biking,Keep it green and bring your bike for getting around on our paved and gravel park roadways or perhaps you are up for a challenge to take a bike hike on the Esker Trail.
Ivanhoe Lake,Birding,"Ivanhoe Lake protects a big piece of Boreal Forest, often called the Songbird Nursery. A wide range of forest songbirds can be found nesting in the park. Many species of warbler can be heard and sometimes seen defending their patch of forest, like the pretty Chestnut-sided Warbler. The commonly heard but rarely seen Red-eyed Vireo whistles its tune thousands of times a day throughout the park. The mouth of the Ivanhoe River is a staging area for waterfowl, with the Common Goldeneye being one of the most numerous ducks found feeding there."
Ivanhoe Lake,Boating,"Ivanhoe Lake is a large lake, popular with boaters. Motor boats are permitted in the park, however no gas motors are allowed on Boyce Lake and Saw Lake."
Ivanhoe Lake,Canoeing,"Canoe the quiet waters of Saw Lake and Teck Lake or take a day trip up the beautiful Ivanhoe River. Bring along your binoculars and camera as you are almost sure to see eagles, waterfowl and the ever-present moose along the fertile shoreline."
Ivanhoe Lake,Fishing,"Ivanhoe River’s slow, fertile waters offers excellent fish habitat, resulting in good fishing opportunities for Northern Pike and Walleye, (also found in Ivanhoe Lake) along with Whitefish. Many of the kettle lakes are frequently stocked with Brook Trout."
Ivanhoe Lake,Hiking,"Saw Lake Trail – 2.8 km loop, easy
This trail leads up and over beautiful esker ridges and continues along the shores of serene Saw Lake, a small glacier lake stocked with Speckled Trout. Be sure to bring your camera as the waters here gleam a greenish hue on a sunny summer’s day."
Ivanhoe Lake,Hunting,"Sport hunting is permitted to continue in the Ivanhoe Lake Addition, which incorporates the Ivanhoe River. Hunting is not permitted within the original Ivanhoe Lake Provincial Park (which includes the campground, beaches and trails), however possession of encased, unloaded firearms will be permitted while accessing hunting areas adjacent to the park."
Ivanhoe Lake,Natural Heritage Education,"Park naturalists offer a complete range of interpretive activities which include guided trail hikes, evening programs, spirit campfires, children’s programs and special event weekends. Let us help you with species identification, provide some history on Ivanhoe Lake or walk with you while you stroll through the visitor centre observing our many exhibits on display. Bring the kids and have them join in as a Junior Naturalist!"
Ivanhoe Lake,Swimming,Grab your towel and picnic basket and head down to one of the two shallow sandy beaches. Please note that no lifeguards are posted on the beach. The day-use beach offers children a playground – much to their delight.
John E. Pearce,Birding,The park is well-worth a stop for spring and fall birding.
John E. Pearce,Hiking,"Spicer Trail 1.5 km (1 hour) easy 
This trail leads through a centuries old hardwood forest. Fifteen interpretive stops are described in the trail guide and 30 trees are identified along the trail."
Kakabeka Falls,Biking,There are no dedicated bike trails at Kakabeka Falls but most of the campground and main access roads are paved. The Poplar Point Trail is a 4 km loop that is well suited to cycling.
Kakabeka Falls,Birding,Various songbirds can be seen and heard throughout the park. Bald Eagles frequent the gorge below the falls particularly in the autumn when the salmon make the run up the river to spawn.
Kakabeka Falls,Hiking,"Boardwalk Trail - 750 metres, linear, easy, wheelchair accessible 
Easily accessible from the main parking lot, the boardwalks and pedestrian bridge provide spectacular views of the falls from viewing platforms on both sides of Kakabeka Falls."
Kakabeka Falls,Natural Heritage Education,"During the summer visitors can learn about the history, wildlife, flora and geology through a variety of fun, interactive educational programs offered at the park. Chat with the park naturalist at the Visitor Centre to have your questions about the park answered."
Kakabeka Falls,Swimming,A small beach is located in a sheltered area of the Kaministiquia River upriver of the falls. The swimming area is marked off with buoys and has a gradual drop-off. Fast currents can occur. If the river volume exceeds 50 cubic meters/second entry in the river is prohibited. Please note: there are no lifeguards please follow all posted safety advisories. posted at the beach. Pets are permitted on the grass areas but are not allowed in the sand or swimming areas. Water levels on the Kaministiquia River are controlled by Ontario Hydro and can fluctuate
Kakabeka Falls,Winter Activities,"The Falls are spectacular in the winter. Enjoy the views from the boardwalks and viewing platforms. 
For cross-country skiers, the park offers over 10 km of groomed trails for beginner to intermediate skiers. The campground roads in Whispering Hills, Poplar Point, Beaver Meadow and River Terrace Trails have skate and classic lanes. Entry and parking is located off of Luckens Road."
Kap-Kig-Iwan,Birding,"The park is also a good spot to watch and listen for nesting birds. Many forest songbirds like warblers and flycatchers make their summer homes here, raising chicks and defending their territories. The river and its valley provide many habitats for them."
Kap-Kig-Iwan,Fishing,"Anglers may catch Northern Pike, Walleye, Small-mouth Bass and Brook Trout."
Kap-Kig-Iwan,Hiking,"Kap-Kig-Iwan has three hiking trails. A scenic lookout provides a bird’s-eye view of the valley, and trails lead along the river to many of the waterfalls on the Englehart River."
Kawartha Highlands,Birding,"Watch for Common Loons, Great Blue Herons and Osprey on park lakes. The park’s rock barrens attract a number of bird species including Whip-poor-will, Common Nighthawk, Scarlet Tanager and Eastern Towhee.  Many species of warblers, vireos and sparrows are found in the park as well."
Kawartha Highlands,Boating,Motorboats are permitted on most lakes within the park. Check with the Park Office for more information.
Kawartha Highlands,Canoeing,"Kawartha Highlands provides a taste of wilderness canoeing, close to southern Ontario. There are six recommended canoe routes through the park, ranging from easy to moderate in difficulty. A canoe route map is available for sale from the park office."
Kawartha Highlands,Fishing,"Try your luck for bass, walleye, panfish and trout. Note: The use and possession of live baitfish is prohibited in the park."
Kawartha Highlands,Hunting,"Hunting in this park is subject to the Ontario Hunting Regulations. Certain restrictions apply. For more information, contact the park or your local area or district office of the Ministry of Natural Resources."
Kawartha Highlands,Swimming,The many clear lakes of Kawartha Highlands provide great opportunities for swimming at campsites and throughout the park.
Kawartha Highlands,Winter Activities,"Winter camping is allowed and you must obtain a permit by calling 1-888-668-7275 or online at https://reservations.ontarioparks.com. Please note that although you have made a reservation for a designated campsite, you are required to camp at least 30 metres away from any designated campsite, shoreline, trail or portage between December 1 and March 31."
Kettle Lakes,Biking,Kettle Lakes has 14 kilometres of biking trails ranging from easy to moderate levels of difficulty. The trails wind through the forest and lead you to Slab Lake where you can have a swim before continuing your journey. Bicycles are available for rent at the front gate.
Kettle Lakes,Birding,"Kettle Lakes is part of the great expanse of the Boreal Forest that covers northern Ontario. The variety of tree species in the park creates a great habitat for a range of birds from: woodpeckers, grouse, warblers, loons to a variety of waterfowl. The park is home to these birds while they nest and raise their young."
Kettle Lakes,Boating,Power boats are permitted on Hughes Lake only.
Kettle Lakes,Canoeing,Canoe rentals are available including paddles and life jackets.
Kettle Lakes,Fishing,Many of the 22 lakes within the park are stocked with Rainbow and Brook Trout. Northern Pike and Yellow Perch occur naturally within some of the lakes in the park.
Kettle Lakes,Hiking,Kettle Lakes Provincial Park has four different hiking trails:
Kettle Lakes,Natural Heritage Education,"Our Natural Heritage Education staff keep campers busy learning new things and having fun!  Interpretive programs include guided hikes, evening programs and children’s programs. The park’s small Visitor Centre is open most days in the summer, where campers can see displays and chat with the park naturalists."
Kettle Lakes,Swimming,Two main beach areas are located on Island Lake and Slab Lake. A playground is found at Slab Lake.
Killarney,Biking,Biking is available on park roads and the bike trail along the Chikanishing Creek to the Chikanishing Access Point.
Killarney,Birding,"The park contains a wide variety of habitats for forest songbirds, birds of prey and waterfowl. The park hosts a Christmas bird count, as well as spring and summer Loon counts. Park Naturalists can direct birders to good locations and can help to identify the birds you’ve seen."
Killarney,Boating,Only canoeing and kayaking is permitted on the interior lakes. There is a boat launch at the Chikanishing Access Point for kayak and boat access to Georgian Bay.
Killarney,Canoeing,"With just under 645 square kilometres of backcountry wilderness and 183 campsites situated on over 50 lakes, Killarney offers numerous canoe routes that can be explored for only a day or for over a week. The deep clear lakes, nestled between the impressive white hills of the La Cloche range, are a canoeist’s dream."
Killarney,Fishing,"Many of Killarney’s lakes are fish sanctuaries. However, limited fishing opportunities are available in the park’s eastern and northern sections."
Killarney,Hiking,"All Killarney’s hiking trails cover uneven and rocky terrain. Sturdy footwear, plenty of water and a park map and compass is recommended. Killarney Provincial Park offers five day-use hiking trails plus may other hiking opportunities."
Killarney,Hunting,Hunting is prohibited in the vast majority of Killarney Provincial Park. Hunting is permitted in Killarney Lakelands and Headwaters Provincial Park and in Killarney Provincial Park 2006 additions ONLY. Nature reserve zones are excluded.
Killarney,Natural Heritage Education,"Natural Heritage Education programs are offered during July and August at the George Lake Campground. Programs are varied, ranging from guided hikes, children’s programs, evening amphitheatre programs, art-in-the-park and artist-in-residence programs. The park also boasts a small observatory and hosts guest astronomers throughout the summer."
Killarney,Swimming,Swim at two beaches in the campground or in any of the interior lakes and rivers.
Killarney,Winter Activities,Killarney Provincial Park has 33km of trail winding through parts of the park only accessible through the winter months.
Killbear,Biking,A 6 km Recreational Trail runs the length of the park and is a very popular way to experience the park.
Killbear,Birding,"Woodpeckers, warblers, wood thrushes, herons, hawks and hummingbirds all make up part of Killbear’s birdlife. The best places to birdwatch are the hiking trails. Bald Eagles show up in late September and are regularly seen until the Bay freezes over in January. Bird checklists are available at the Visitor Centre."
Killbear,Boating,"Located in the heart of the 30,000 islands, Killbear is an ideal location to explore beautiful Georgian Bay. Sailing, cruising, trolling, and waterskiing are all possible."
Killbear,Canoeing,Canoeing and kayaking are popular activities. The park has over 12 km of rugged shoreline and three islands to explore. There are dozens of other islands within a short paddle of the park. Paddlers must be aware of wind and wave conditions on Georgian Bay and be aware that the weather can change quickly.
Killbear,Fishing,"Fish for Lake Trout, Smallmouth Bass, pike, perch and walleye. Parry Sound is best known for a productive Lake Trout fishery in the waters of the Big Sound (on the eastern side of the Killbear peninsula). Please note: the waters of Kilcoursie Bay (on the western side of the peninsula) are a Lake Trout sanctuary and are closed to Lake Trout fishing year round."
Killbear,Hiking,"Twin Points Trail  1.6 km loop (40 minutes) easy. 
The trail crosses over rock outcrops and through different types of forest until it makes its way to the rocky points and sandy beaches of the shoreline. A trail guide interprets the geological features found along the way."
Killbear,Natural Heritage Education,"Interpretive programs are held daily during the summer months and focus on the natural and human history of the area. Programs include Children’s Programs, Guided Hikes, Evening Programs at the amphitheatre, plus special musical concerts by groups such as the Wakami Wailers."
Killbear,Swimming,"Each campground has its own designated beach plus there is a beach at the Day- Use area. In addition there are kilometers of adjacent shoreline, some rocky and some sandy, that are suitable for swimming. Kilcoursie, Beaver Dams and the Day-Use Beach share a 2 km horseshoe shaped beach. Beaches at Georgian, Harold Point, Granite Saddle, Lighthouse Point and Blind Bay Campgrounds are all on smaller beaches flanked by rocky headlands."
Lady Evelyn-Smoothwater,Birding,"Lady Evelyn-Smoothwater protects an area of rugged highland watersheds and contains forest that mixes Great Lakes-St. Lawrence and Boreal species of trees, creating many different habitats for birds. During the nesting season of spring and early summer, many species of warbler, thrush, flycatcher and woodpecker can be heard calling to defend territory. Eagles, osprey and many other birds-of-prey can be spotted hunting above the forests of the park."
Lady Evelyn-Smoothwater,Boating,"Within Lady Evelyn-Smoothwater Provincial Park, motorboat restrictions apply. Please refer to the Temagami Area Park Management Plan 2007 for zone-specific management direction."
Lady Evelyn-Smoothwater,Canoeing,"There are numerous canoe route options within Lady Evelyn-Smoothwater and in connection with the adjoining waterway parks, conservation reserves and Crown land."
Lady Evelyn-Smoothwater,Fishing,Angling is primarily for Brook trout and Lake trout in many of the lakes and streams in the park. Sucker Gut Lake contains warm-water species such as Walleye and Small-mouth bass. Ontario provincial fishing regulations apply.
Lady Evelyn-Smoothwater,Hiking,"Maple Mountain Trail: 3.2km
This challenging trail leads to one of the most visited backcountry destinations in Temagami. A 2.5 hour hike leads to a fire tower on the summit where the view of Temagami is breathtaking. The trail can only be reached by canoe and once was used by fire rangers who used the fire tower to watch for smoke and forest fires."
Lady Evelyn-Smoothwater,Swimming,There are endless opportunities in the backcountry for swimming including both shallow and deeper water entries along rocky headlands.
Lake on the Mountain,Fishing,"Anglers can try for Large and Smallmouth Bass, Northern Pike and sunfish at Lake on the Mountain."
Lake on the Mountain,Natural Heritage Education,Interpretive display panels provide information on the natural and cultural history of park.
Lake St. Peter,Biking,"There are no dedicated cycling trails in the park, but local forest access and municipal roads provide excellent cycling opportunities. The Hastings Heritage Trail is open to cyclists and is only two kilometres away."
Lake St. Peter,Birding,"Warblers, thrushes, chickadees, woodpeckers and Great Blue Herons all make their home at Lake St. Peter."
Lake St. Peter,Boating,Motorboats are permitted on Lake St. Peter and can be launched at the park’s boat launch located at the eastern end of the park.
Lake St. Peter,Canoeing,Rent a canoe or kayak at the park for the day and explore Lake St. Peter.
Lake St. Peter,Fishing,"Lake St. Peter is known for Lake Trout and bass. Although you can fish from the shoreline, for best results try fishing from a boat or canoe."
Lake St. Peter,Hiking,"Lookout Trail 2.5 km (1.5 hours) Strenuous
This trail crosses rugged terrain, passes close to a kettle lake and leads to a spectacular lookout over the lake."
Lake St. Peter,Hunting,"Hunting in this park is subject to the Ontario Hunting Regulations. Certain restrictions apply. For more information, contact the park or your local Ministry of Natural Resources office."
Lake St. Peter,Swimming,"Lake St. Peter has two sandy beaches, both of which are marked with buoy lines. There are no lifeguards at the beaches and pets are not permitted."
Lake Superior,Birding,"The diversity of habitats in the park provides good bird watching opportunities. The transition between the Great Lakes-St. Lawrence and boreal forests support a mix of northern and southern species.
 
More than 250 bird species have been identified within the park, 120 - 130 of which nest here. Spring and fall are good times to watch for migrating species, especially close to Lake Superior."
Lake Superior,Boating,"Powerboats are allowed on Lake Superior (no motor size restriction) and Sand Lake (motor size 10 hp or less). Powerboats, including electric motors, are prohibited on all other lakes in the park."
Lake Superior,Canoeing,"There are eight canoe routes in the park, ranging from easy day trips to the 56 km Sand River. On the Lower Agawa River and Anjigami River routes only the portions within the park are maintained. The topography of Lake Superior Provincial Park is rugged. Consequently, portaging must be done frequently, and the portages can be steep and uneven."
Lake Superior,Fishing,"In Lake Superior and in coastal streams and rivers, there are good populations of Lake and Rainbow Trout, and three species of salmon. Inland waters offer good opportunities for catching Lake and Brook Trout. To prevent the introduction on non-native species, the use and possession of live-bait fish (live minnows) is banned on interior park lakes."
Lake Superior,Hiking,"Eleven trails let visitors explore the variety of landscapes that make up Lake Superior Provincial Park – rocky shores, beaches, lakes and rivers, waterfalls, forests, wetlands and rolling hills."
Lake Superior,Hunting,"Hunting is permitted in part of the park for moose, grouse and Varying Hare. Hunting is permitted only in that part of the park lying east of Highway 17 and north of the south boundaries of Brimacombe and Broome townships."
Lake Superior,Natural Heritage Education,"The Visitor Centre at Agawa Bay is a focal point for interpretive programs and special events run by the Natural Heritage Education Program. During the summer, park staff offer evening programs, guided hikes, kid’s programs, special events and guest speakers. On-site guides are at Agawa Rock during July and August. Look for events scheduled on park activity boards."
Lake Superior,Swimming,"Beaches are located in each of the three park campgrounds: Agawa Bay, Crescent Lake and Rabbit Blanket Lake and at Katherine Cove and Old Woman Bay Day-Use areas. The waters of Lake Superior can be quite cold, particularly in early summer. Shallow bays may warm up following periods of calm waters and sunny, hot days. Inland lakes are warmer."
Lake Superior,Winter Activities,"Facilities and services are not provided. The Visitor Centre, campgrounds and park roads (i.e. Mijinemungshing and Gargantua) are closed and gated. Visitors are welcome to ski, snowshoe and ice fish. Snowmobiles are not permitted, except on Frater Road to access the Algoma Central Railway. Park regulations banning live bait-fish and cans and bottles are still in effect."
Long Point,Biking,Enjoy cycling on over 5 km of park roadways.
Long Point,Birding,"More than 300 different species of song birds and waterfowl migrate through Long Point every spring and autumn. More than 80 species of birds nest on the point annually, making Long Point one of the top bird watching destinations in North America."
Long Point,Boating,Excellent boating opportunities are provided on Long Point Bay. The park offers boat launch facilities that are able to accommodate most pleasure boats.
Long Point,Canoeing,"Many visitors enjoy canoeing along the sheltered marsh of Long Point Bay. Opportunities also exist outside of the park, in the area of Big Creek, located on the Long Point causeway."
Long Point,Fishing,There are excellent fishing opportunities in Long Point Bay. We have one of the finest bass fisheries in Ontario. Fishing licenses may be purchased in the village of Long Point.
Long Point,Hunting,"The park is the home base for the Long Point Waterfowl Management Unit (LPWMU), a controlled waterfowl hunt. The LPWMU is open for hunting Monday, Wednesday, Friday and Saturday during the open season for waterfowl. (mid-September through to mid-December)"
Long Point,Natural Heritage Education,"The park does not offer a formal NHE program but we do offer several exciting and informative programs throughout the season on topics such as Reptiles at Risk, Creatures of the Night and the Fowler’s Toad."
Long Point,Swimming,"Large, sandy beaches are located by Monarch’s Rest and Turtle Dunes Campground and the Day-Use are in the New Park as well as Cottonwood Campground in the Old Park. Over two kilometres of soft sand and warm water awaits you."
MacGregor Point,Biking,Several off-road trails make it easy to get around the park and to connect to trails in the area.
MacGregor Point,Birding,"More than 200 species of birds have been sighted here, including the Black-crowned Night Heron and the American Egret which find the wetlands in the park to be ideal feeding grounds. The shoreline is a recognized spring and fall migration route. MacGregor Point is either the northern or southern nesting limit for a number of northern and southern species.
 
Each spring, naturalists’ celebrate the return of songbirds during the Huron Fringe Birding Festival. This festival has been developed to coincide with the arrival and the setting up of territories by these migrating birds. The focus is on birding, however, other areas of natural history are included, such as butterflies, wildflowers, astronomy, nature art, poetry and photography. The festival is held annually for ten days from the Friday following the Victoria Day weekend."
MacGregor Point,Canoeing,Caution should be used by anyone canoeing or kayaking along the shore of Lake Huron because water conditions can change quickly. The nearby Saugeen River provides excellent canoeing and kayaking opportunities.
MacGregor Point,Fishing,"Fishing along the shore is limited. The nearby Saugeen River is good for bass, perch, Lake Trout, pickerel, pike and salmon."
MacGregor Point,Hiking,"Huron Fringe Trail 1.2 km (35 minutes) easy
The Huron Fringe trail circles the Visitor Centre. Its boardwalk surface makes it compatible for the physically challenged. Interpretive signs along the way teach about the various habitats you are visiting. Several resting spots provide viewing areas for turtles and shore birds. Bicycles are not allowed on this trail."
MacGregor Point,Natural Heritage Education,"Facilities include: a Campfire Circle, hiking trails and a Visitor Centre. Various resource related evening programs happen up to six days a week during July and August, including children’s programs, curriculum based programs for schools, guided hikes, Huron Fringe Birding Festival, Nature Study Series and campfire programs. The park also offers Project Nature Watch (an independent learning program for children)."
MacGregor Point,Swimming,The gradually sloping beach is 50 m in length and sandy with boulders. There are change facilities in the day-use area. There is no buoyed area and no lifeguards are posted.
MacGregor Point,Winter Activities,"Cross-country Skiing  
The park has 11 kilometres of groomed trails and many kilometres of unplowed park roads which are not groomed but would be suitable for cross-country skiing."
MacLeod,Biking,Bicycles are a great way to explore the campground and are encouraged as a mode of transportation within the park. They are permitted on park roads but not on the trail system.
MacLeod,Birding,"Visitors to MacLeod could expect to see Red-eyed Vireos, ovenbirds, Northern Warblers, Broad-winged Hawks and ospreys."
MacLeod,Boating,"Bring your own boat and launch it from the park’s boat launch, or rent a boat from suppliers nearby. Explore the lake with its many inlets, bays, islands and marshes."
MacLeod,Canoeing,Travelling by canoe is the perfect way to explore Kenogamisis Lake. Canoes can be rented from local outfitters near the park.
MacLeod,Fishing,Cast a line for pike and walleye in Kenogamisis Lake and Kenogamisis River.
MacLeod,Hiking,"MacLeod Trail - 1 km (30 minutes) easy
This trail passes through a forest of Trembling Aspen, the prominent tree in the park. Much of the original forest was destroyed by fire in 1939. A trail guide is available that explains forest succession."
MacLeod,Swimming,The sandy beach is a popular attraction for day visitors and campers.
Makobe-Grays River,Backcountry Camping,"When flying into Makobe Lake, the time required preparing for the flight, and the flight itself mean that camping on Banks Lake is the likely end to the first day. There are several campsites on Banks, including one where the Makobe River starts, next to the first falls. Alexander Lake has a number of campsites for the second night, although camping next to a rapid is often a great way to get to sleep. The last day ends at the Town of Elk Lake."
Mara,Biking,Campers normally cycle on park roads.
Mara,Birding,"Great Blue Heron, Green Heron, Coopers Hawk, Osprey"
Mara,Boating,Mara is on the shores of Lake Simcoe which has great fishing opportunities and also offers access to the Trent Severn Waterway.
Mara,Fishing,"Mara is on the shores of Lake Simcoe and has great fishing opportunities for sunfish, walleye, Lake Trout, Smallmouth Bass, perch and Lake Whitefish."
Mara,Hiking,"Mara has a 0.5 kilometre trail which winds through a soft maple wetland and along a stream bank that is rich in flora and fauna. Look for Jack-in-the-Pulpits, Painted Turtles or a Great Blue Heron."
Mara,Swimming,Mara is located on the shores of Lake Simcoe and prides itself on having one of the best beaches in Lake Country. A designated swimming area is available to park visitors from mid June through to Labour Day.
Mark S. Burnham,Hiking,"Mark S. Burnham Trail - 1.5 km, easy
This trail winds through a mature hardwood forest."
Marten River,Biking,Biking is allowed on park roads.
Marten River,Birding,"Marten River and the surrounding landscape provide many different habitats for birds. Warblers, flycatchers, hawks owls and ducks nest here each year. Watch and listen for them as they look for food, feed their chicks and defend their territories from rivals."
Marten River,Boating,Power boats are allowed on Marten River and many of the nearby lakes.
Marten River,Canoeing,"Marten River itself provides lots of opportunities to explore, with numerous bays and long stretches of shoreline. As the park is the southern gateway to the Temagami region, there are many canoeing opportunities close by. Nearby, Kenny Forest Provincial Park has a number of large, interconnected lakes to paddle, and for whitewater enthusiasts, the Temagami River is a great canoe or whitewater kayak route, either for the day or overnight."
Marten River,Fishing,"Marten River offers Northern Pike, Pumpkinseed, Rock Bass, Smallmouth Bass, Walleye and Yellow Perch. Lake Trout, Lake whitefish and Brook trout can also be found in nearby lakes."
